Location,lon,lat
"Aarhus,Denmark",10.203921,56.162939
"Abu Dhabi,UAE",54.3773438,24.453884
"Albuquerque,USA",-106.650422,35.0843859
"Alexandria,Egypt",29.9187387,31.2000924
"Almeria,Spain",-2.4637136,36.834047
"Amsterdam-Oost,Netherlands",4.9405003,52.3586189
"Arizona,USA",-111.0937311,34.0489281
"Atlanta,USA",-84.3879824,33.7489954
"Austin,USA",-97.7430608,30.267153
"Aveiro,Portugal",-8.6537539,40.6405055
"Baltimore,USA",-76.6121893,39.2903848
"Beijing,China",116.4073963,39.90419989999999
"Beirut,Lebanon",35.5017767,33.8937913
"Benevento,Italy",14.7826208,41.1297613
"Bilbao,Spain",-2.9349852,43.2630126
"Bologna,Italy",11.3426162,44.494887
"Bolzano,Italy",11.3547582,46.4982953
"Brescia,Italy",10.2118019,45.5415526
"California,USA",-119.4179324,36.778261
"Cambridge,UK",0.121817,52.205337
"Cambridge,USA",-71.10973349999999,42.3736158
"Cartersville,USA",-84.7999382,34.1650972
"Chambery,France",5.917781,45.564601
"Chicago,USA",-87.6297982,41.8781136
"Colorado,USA",-105.7820674,39.5500507
"Copenhagen,Denmark",12.5683372,55.6760968
"Corby,England",-0.6842332999999999,52.49229829999999
"Cork,Ireland",-8.4756035,51.8985143
"Daejeon,South Korea",127.3845475,36.3504119
"Denver,USA",-104.990251,39.7392358
"Dezhou,China",116.357464,37.43409200000001
"Doha,Qatar",51.53103979999999,25.2854473
"Dublin,Ireland",-6.2603097,53.3498053
"Duluth,USA",-92.1004852,46.78667189999999
"El Paso,USA",-106.4850217,31.7618778
"Eskilstuna,Sweden",16.5098046,59.37124859999999
"Fairbanks,USA",-147.7163888,64.8377778
"Forli-Cesena,Italy",11.9804613,43.99476809999999
"Galicia,Spain",-8.1338558,42.5750554
"Galway,Ireland",-9.0567905,53.270668
"Geneva,Switzerland",6.1431577,46.2043907
"Glasgow,Scotland",-4.251806,55.864237
"Guangzhou,China",113.264385,23.12911
"Helena,USA",-112.0391057,46.5891452
"Houston,USA",-95.3698028,29.7604267
"Idaho,USA",-114.7420408,44.0682019
"Incheon,South Korea",126.7052062,37.4562557
"Irvine,USA",-117.8265049,33.6845673
"Kartal,Turkey",29.2204548,40.9184004
"Kuwait City,Kuwait",47.9774052,29.375859
"Las Vegas,USA",-115.1398296,36.1699412
"Lleida,Spain",0.6200146,41.6175899
"London,UK",-0.1277583,51.5073509
"Los Angeles,USA",-118.2436849,34.0522342
"Loughborough,UK",-1.206166,52.772099
"Madrid,Spain",-3.7037902,40.4167754
"Miami,USA",-80.1917902,25.7616798
"Minneapolis,USA",-93.2650108,44.977753
"Montana,USA",-110.3625658,46.8796822
"Montreal,Canada",-73.567256,45.5016889
"NA,NA",-95.712891,37.09024
"NA,Spain",-96.6997758,32.8910145
"NA,UK",-0.09200499999999999,51.52815200000001
"Navarra,Spain",-1.6760691,42.6953909
"Nevada,USA",-116.419389,38.8026097
"New Mexico,USA",-105.8700901,34.5199402
"Oak Ridge,USA",-84.26964490000002,36.0103561
"Oregon,USA",-120.5542012,43.8041334
"Ottawa,Canada",-75.69719309999999,45.4215296
"Palermo,Italy",13.3614868,38.11569
"Pamplona,Spain",-1.6457745,42.812526
"Paris,France",2.3522219,48.856614
"Pennsylvania,USA",-77.1945247,41.2033216
"Persenbeug-Gottsdorf,Austria",15.0826,48.18745999999999
"Philadelphia,USA",-75.1652215,39.9525839
"Phoenix,USA",-85.50595,36.154612
"Pontevedra,Spain",-8.6446202,42.4298846
"Rome,Italy",12.4963655,41.9027835
"San Francisco,USA",-122.4194155,37.7749295
"Seattle,USA",-122.3320708,47.6062095
"Shanghai,China",121.473701,31.230416
"Shijiazhuang,China",114.514893,38.042805
"Singapore, Singapore",103.819836,1.352083
"Singapore,Singapore",103.819836,1.352083
"Somerset/London/Bristol/London,UK",-0.117148,51.511059
"State College,USA",-77.8600012,40.7933949
"Texas,USA",-99.9018131,31.9685988
"Tianjin,China",117.3616476,39.3433574
"Toronto,Canada",-79.3831843,43.653226
"Turin,Italy",7.686864,45.0703393
"Umea,Sweden",20.2630354,63.8258471
"Utah,USA",-111.0937311,39.3209801
"Vitoria-Gasteiz,Spain",-2.6728711,42.850237
"Vitoria,Spain",-2.6728711,42.850237
"Washington,USA",-120.7401385,47.7510741
"Wieselburg,Austria",15.1386275,48.1286025
"Wustenrot,Germany",9.460584500000001,49.0805879
"Wyoming,USA",-107.2902839,43.0759678
"Xian,China",108.93977,34.341574
"Yongin city,South Korea",127.1775537,37.2410864
